"SYMBOL ","COMPANY ","REGULATION ","NAME OF THE ACQUIRER/DISPOSER ","CATEGORY OF PERSON ","TYPE OF SECURITY (PRIOR) ","NO. OF SECURITY (PRIOR) ","% SHAREHOLDING (PRIOR) ","TYPE OF SECURITY (ACQUIRED/DISPLOSED) ","NO. OF SECURITIES (ACQUIRED/DISPLOSED) ","VALUE OF SECURITY (ACQUIRED/DISPLOSED) ","ACQUISITION/DISPOSAL TRANSACTION TYPE ","TYPE OF SECURITY (POST) ","NO. OF SECURITY (POST) ","% POST ","DATE OF ALLOTMENT/ACQUISITION FROM ","DATE OF ALLOTMENT/ACQUISITION TO ","DATE OF INITMATION TO COMPANY ","MODE OF ACQUISITION ","DERIVATIVE TYPE SECURITY ","DERIVATIVE CONTRACT SPECIFICATION ","NOTIONAL VALUE(BUY) ","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) ","NOTIONAL VALUE(SELL) ","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) ","EXCHANGE ","REMARK ","BROADCASTE DATE AND TIME ","XBRL "
"ICICIBANK","ICICI Bank Limited","7(2)","Hitesh Vasantlal Thakker","Employees/Designated Employees","Equity Shares","4532","0",,"1000","551000","Sell","Equity Shares","3532","0","30-Dec-2019","30-Dec-2019","31-Dec-2019","Market Sale","-","-","0","0","0","0","BSE","-","31-Dec-2019 19:51","https://archives.nseindia.com/corporate/xbrl/IT_1063610_183289_31122019075147_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","AMIT VATSA","Employees/Designated Employees","Equity Shares","3575","0",,"3400","1775000","Sell","Equity Shares","175","0","14-Nov-2019","20-Dec-2019","30-Dec-2019","Market Sale","-","-","0","0","0","0","NSE","-","31-Dec-2019 19:51","https://archives.nseindia.com/corporate/xbrl/IT_1063610_183289_31122019075147_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","Sunil Nair","Employees/Designated Employees","Equity Shares","2310","0",,"2310","1242241","Sell","Equity Shares","Nil","0","10-Dec-2019","27-Dec-2019","31-Dec-2019","Market Sale","-","-","0","0","0","0","NSE","-","31-Dec-2019 19:51","https://archives.nseindia.com/corporate/xbrl/IT_1063610_183289_31122019075147_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","VIKRANT GANDHI","Employees/Designated Employees","Equity Shares","5000","0",,"5000","2740390","Sell","Equity Shares","Nil","0","30-Dec-2019","30-Dec-2019","31-Dec-2019","Market Sale","-","-","0","0","0","0","BSE,NSE","-","31-Dec-2019 19:51","https://archives.nseindia.com/corporate/xbrl/IT_1063610_183289_31122019075147_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","Anup Bagchi","Key Managerial Personnel","Equity Shares","577500","0.01",,"577500","315366975","Sell","Equity Shares","Nil","0","30-Dec-2019","30-Dec-2019","31-Dec-2019","Market Sale","-","-","0","0","0","0","NSE","-","31-Dec-2019 19:51","https://archives.nseindia.com/corporate/xbrl/IT_1063610_183289_31122019075147_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","ANUJ KUMAR AGARWAL","Employees/Designated Employees","Equity Shares","132830","0",,"2000","1097584","Sell","Equity Shares","130830","0","30-Dec-2019","30-Dec-2019","31-Dec-2019","Market Sale","-","-","0","0","0","0","NSE","-","31-Dec-2019 19:51","https://archives.nseindia.com/corporate/xbrl/IT_1063610_183289_31122019075147_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","ANUJ KUMAR AGARWAL","Employees/Designated Employees","Equity Shares","133830","0",,"1000","546789","Sell","Equity Shares","132830","0","20-Dec-2019","20-Dec-2019","31-Dec-2019","Market Sale","-","-","0","0","0","0","NSE","-","31-Dec-2019 19:51","https://archives.nseindia.com/corporate/xbrl/IT_1063610_183289_31122019075147_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","ANUJ BHARGAVA","Employees/Designated Employees","Equity Shares","50000","0",,"50000","26947500","Sell","Equity Shares","Nil","0","31-Dec-2019","31-Dec-2019","31-Dec-2019","Market Sale","-","-","0","0","0","0","NSE","-","31-Dec-2019 19:51","https://archives.nseindia.com/corporate/xbrl/IT_1063610_183289_31122019075147_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","ANUJ BHARGAVA","Employees/Designated Employees","Equity Shares","85000","0",,"35000","19164455","Sell","Equity Shares","50000","0","27-Dec-2019","27-Dec-2019","31-Dec-2019","Market Sale","-","-","0","0","0","0","NSE","-","31-Dec-2019 19:51","https://archives.nseindia.com/corporate/xbrl/IT_1063610_183289_31122019075147_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","N HARESH BABU","Employees/Designated Employees","Equity Shares","6250","0",,"250","135250","Sell","Equity Shares","6000","0","31-Dec-2019","31-Dec-2019","31-Dec-2019","Market Sale","-","-","0","0","0","0","NSE","-","31-Dec-2019 19:51","https://archives.nseindia.com/corporate/xbrl/IT_1063610_183289_31122019075147_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","MANISH JAIN","Employees/Designated Employees","Equity Shares","15675","0",,"717","394076","Sell","Equity Shares","14958","0","27-Dec-2019","27-Dec-2019","31-Dec-2019","Market Sale","-","-","0","0","0","0","NSE","-","31-Dec-2019 19:51","https://archives.nseindia.com/corporate/xbrl/IT_1063610_183289_31122019075147_WEB.xml"
