"SYMBOL ","COMPANY ","REGULATION ","NAME OF THE ACQUIRER/DISPOSER ","CATEGORY OF PERSON ","TYPE OF SECURITY (PRIOR) ","NO. OF SECURITY (PRIOR) ","% SHAREHOLDING (PRIOR) ","TYPE OF SECURITY (ACQUIRED/DISPLOSED) ","NO. OF SECURITIES (ACQUIRED/DISPLOSED) ","VALUE OF SECURITY (ACQUIRED/DISPLOSED) ","ACQUISITION/DISPOSAL TRANSACTION TYPE ","TYPE OF SECURITY (POST) ","NO. OF SECURITY (POST) ","% POST ","DATE OF ALLOTMENT/ACQUISITION FROM ","DATE OF ALLOTMENT/ACQUISITION TO ","DATE OF INITMATION TO COMPANY ","MODE OF ACQUISITION ","DERIVATIVE TYPE SECURITY ","DERIVATIVE CONTRACT SPECIFICATION ","NOTIONAL VALUE(BUY) ","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) ","NOTIONAL VALUE(SELL) ","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) ","EXCHANGE ","REMARK ","BROADCASTE DATE AND TIME ","XBRL "
"NCC","NCC Limited","7(2)","SIRISHA PROJECTS PRIVATE LIMITEDS","Promoters","Equity Shares","11282428","1.85",,"142500","6271105","Buy","Equity Shares","11424928","1.87","20-Feb-2020","20-Feb-2020","24-Feb-2020","Market Purchase","-","-","0","0","0","0","BSE","-","25-Feb-2020 11:45","https://archives.nseindia.com/corporate/xbrl/IT_1066277_225005_25022020114517_WEB.xml"
"SDBL","Som Distilleries & Breweries Limited","7(2)","SOM DISTILLERIES PRIVATE LIMITED","Promoters","Equity Shares","3092363","9.52",,"2000","209494","Buy","Equity Shares","3094363","9.52","24-Feb-2020","24-Feb-2020","24-Feb-2020","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","25-Feb-2020 11:31","https://archives.nseindia.com/corporate/xbrl/IT_1066276_224998_25022020113111_WEB.xml"
"GALAXYSURF","Galaxy Surfactants Limited","7(2)","Sridhar Unnathan","Promoter Group","Equity Shares","48893","0.14",,"360","609820","Sell","Equity Shares","48533","0.14","20-Feb-2020","20-Feb-2020","24-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Feb-2020 11:18","https://archives.nseindia.com/corporate/xbrl/IT_1066273_224991_25022020111842_WEB.xml"
"NAVINFLUOR","Navin Fluorine International Limited","7(2)","Mafatlal Impex Pvt Ltd","Promoters","Equity Shares","11407420","23.06",,"26127","33416433","Pledge Revoke","Equity Shares","11407420","23.06","20-Feb-2020","20-Feb-2020","24-Feb-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","24-Feb-2020 20:14","https://archives.nseindia.com/corporate/xbrl/IT_1066270_224968_24022020081431_WEB.xml"
"KALPATPOWR","Kalpataru Power Transmission Limited","7(2)","Kalpataru Properties Private Limited","Promoter Group","Equity Shares","13646196","8.82",,"210000","78141000","Pledge","Equity Shares","13646196","8.82","20-Feb-2020","20-Feb-2020","24-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","24-Feb-2020 20:06","https://archives.nseindia.com/corporate/xbrl/IT_1066269_224965_24022020080631_WEB.xml"
"KALPATPOWR","Kalpataru Power Transmission Limited","7(2)","K. C. HOLDINGS PVT LTD","Promoter Group","Equity Shares","21142600","13.67",,"1378000","512754000","Pledge","Equity Shares","21142600","13.67","20-Feb-2020","20-Feb-2020","24-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","24-Feb-2020 20:06","https://archives.nseindia.com/corporate/xbrl/IT_1066269_224965_24022020080631_WEB.xml"
"KALPATPOWR","Kalpataru Power Transmission Limited","7(2)","KALPATARU CONSTRUCTIONS PRIVATE LIMITED","Promoter Group","Equity Shares","23350000","15.09",,"56000","20837600","Pledge","Equity Shares","23350000","15.09","24-Feb-2020","24-Feb-2020","24-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","24-Feb-2020 20:06","https://archives.nseindia.com/corporate/xbrl/IT_1066269_224965_24022020080631_WEB.xml"
"KALPATPOWR","Kalpataru Power Transmission Limited","7(2)","KALPATARU CONSTRUCTIONS PRIVATE LIMITED","Promoter Group","Equity Shares","23350000","15.09",,"1202000","447264200","Pledge","Equity Shares","23350000","15.09","20-Feb-2020","20-Feb-2020","24-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","24-Feb-2020 20:06","https://archives.nseindia.com/corporate/xbrl/IT_1066269_224965_24022020080631_WEB.xml"
"KALPATPOWR","Kalpataru Power Transmission Limited","7(2)","PARAG MOFATRAJ MUNOT","Promoters","Equity Shares","7382515","4.77",,"125000","46513000","Pledge","Equity Shares","7382515","4.77","20-Feb-2020","20-Feb-2020","24-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","24-Feb-2020 20:06","https://archives.nseindia.com/corporate/xbrl/IT_1066269_224965_24022020080631_WEB.xml"
"MHRIL","Mahindra Holidays & Resorts India Limited","7(2)","Rohit Malik","Employees/Designated Employees","Equity Shares","12000","0.01",,"4500","1024750","Sell","Equity Shares","7500","0.01","10-Feb-2020","20-Feb-2020","24-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Feb-2020 20:01","https://archives.nseindia.com/corporate/xbrl/IT_1066267_224962_24022020080136_WEB.xml"
"FCONSUMER","Future Consumer Limited","7(3)","Krishnanshi Traders Private Limited","-","Equity Shares","16018580","0.83",,"72500","1550925","Sell","Equity Shares","15946080","0.83","10-Feb-2020","20-Feb-2020","21-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Feb-2020 19:44","https://archives.nseindia.com/corporate/xbrl/IT_1066265_224958_24022020074431_WEB.xml"
"FCONSUMER","Future Consumer Limited","7(2)","Future Capital Investment Private Limited","Promoters","Equity Shares","845212246","44",,"1500000","31335000","Pledge","Equity Shares","845212246","44","19-Feb-2020","19-Feb-2020","20-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","24-Feb-2020 19:42","https://archives.nseindia.com/corporate/xbrl/IT_1066264_224956_24022020074237_WEB.xml"
"ASTEC","Astec LifeSciences Limited","7(2)","GODREJ AGROVET LIMITED","Promoters","Equity Shares","11641534","59.49",,"1933","920294","Buy","Equity Shares","11643467","59.5","19-Feb-2020","19-Feb-2020","20-Feb-2020","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","24-Feb-2020 19:33","https://archives.nseindia.com/corporate/xbrl/IT_1066263_224954_24022020073301_WEB.xml"
"ASTEC","Astec LifeSciences Limited","7(2)","GODREJ AGROVET LIMITED","Promoters","Equity Shares","11637249","59.47",,"4285","2012825","Buy","Equity Shares","11641534","59.49","18-Feb-2020","18-Feb-2020","20-Feb-2020","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","24-Feb-2020 19:33","https://archives.nseindia.com/corporate/xbrl/IT_1066263_224954_24022020073301_WEB.xml"
"EDELWEISS","Edelweiss Financial Services Limited","7(2)","Nilesh Parmar","Employees/Designated Employees","Equity Shares","168000","0.02",,"68000","6018412","Sell","Equity Shares","100000","0.01","19-Feb-2020","19-Feb-2020","24-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Feb-2020 19:28","https://archives.nseindia.com/corporate/xbrl/IT_1066262_224949_24022020072832_WEB.xml"
"EMAMILTD","Emami Limited","7(2)","Diwakar Viniyog Private Limited","Promoter Group","Equity Shares","49533849","10.91",,"235215","64460671","Pledge","Equity Shares","49533849","10.91","18-Feb-2020","18-Feb-2020","20-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","24-Feb-2020 19:18","https://archives.nseindia.com/corporate/xbrl/IT_1066260_224945_24022020071828_WEB.xml"
"EMAMILTD","Emami Limited","7(2)","M/s Bhanu Vyapaar Private Limited","Promoter Group","Equity Shares","43765902","9.64",,"622370","170560499","Pledge","Equity Shares","43765902","9.64","18-Feb-2020","18-Feb-2020","20-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","24-Feb-2020 19:18","https://archives.nseindia.com/corporate/xbrl/IT_1066260_224945_24022020071828_WEB.xml"
"EMAMILTD","Emami Limited","7(2)","M/s Suntrack Commerce Private Limited","Promoter Group","Equity Shares","49134107","10.82",,"593754","159897952","Pledge Revoke","Equity Shares","49134107","10.82","20-Feb-2020","20-Feb-2020","24-Feb-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","24-Feb-2020 19:18","https://archives.nseindia.com/corporate/xbrl/IT_1066260_224945_24022020071828_WEB.xml"
"EMAMILTD","Emami Limited","7(2)","Diwakar Viniyog Private Limited","Promoter Group","Equity Shares","49533849","10.91",,"9000","2452950","Pledge","Equity Shares","49533849","10.91","19-Feb-2020","19-Feb-2020","20-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","24-Feb-2020 19:18","https://archives.nseindia.com/corporate/xbrl/IT_1066260_224945_24022020071828_WEB.xml"
"EMAMILTD","Emami Limited","7(2)","M/s Suntrack Commerce Private Limited","Promoter Group","Equity Shares","49134107","10.82",,"281822","77233319","Pledge","Equity Shares","49134107","10.82","18-Feb-2020","18-Feb-2020","20-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","24-Feb-2020 19:18","https://archives.nseindia.com/corporate/xbrl/IT_1066260_224945_24022020071828_WEB.xml"
"EMAMILTD","Emami Limited","7(2)","M/s Prabhakar Viniyog Private Limited","Promoter Group","Equity Shares","20491492","4.51",,"22000","6029100","Pledge","Equity Shares","20491492","4.51","18-Feb-2020","18-Feb-2020","20-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","24-Feb-2020 19:18","https://archives.nseindia.com/corporate/xbrl/IT_1066260_224945_24022020071828_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","JASHRAJ GANDHI","Employees/Designated Employees","Equity Shares","2475","0",,"2475","1356424","Sell","Equity Shares","Nil","0","20-Feb-2020","20-Feb-2020","24-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Feb-2020 19:04","https://archives.nseindia.com/corporate/xbrl/IT_1066258_224942_24022020070436_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","ANIL KUMAR SHARMA","Employees/Designated Employees","Equity Shares","19297","0",,"19297","10464605","Sell","Equity Shares","Nil","0","19-Feb-2020","19-Feb-2020","21-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Feb-2020 19:04","https://archives.nseindia.com/corporate/xbrl/IT_1066258_224942_24022020070436_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","PRASANNA BALACHANDER","Employees/Designated Employees","Equity Shares","25333","0",,"25000","13368750","Sell","Equity Shares","333","0","24-Feb-2020","24-Feb-2020","24-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Feb-2020 19:04","https://archives.nseindia.com/corporate/xbrl/IT_1066258_224942_24022020070436_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","VISHAL CHHUGANI","Employees/Designated Employees","Equity Shares","Nil","0",,"5532","1443214","Buy","Equity Shares","5532","0","13-Feb-2020","13-Feb-2020","24-Feb-2020","ESOP","-","-","0","0","0","0","NA","-","24-Feb-2020 19:04","https://archives.nseindia.com/corporate/xbrl/IT_1066258_224942_24022020070436_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","Rahul Godse","Employees/Designated Employees","Equity Shares","15000","0",,"7000","1653960","Buy","Equity Shares","22000","0","20-Feb-2020","20-Feb-2020","20-Feb-2020","ESOP","-","-","0","0","0","0","NA","-","24-Feb-2020 19:04","https://archives.nseindia.com/corporate/xbrl/IT_1066258_224942_24022020070436_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","Loknath Mishra","Employees/Designated Employees","Equity Shares","61050","0",,"5000","2737000","Sell","Equity Shares","56050","0","20-Feb-2020","20-Feb-2020","20-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Feb-2020 19:04","https://archives.nseindia.com/corporate/xbrl/IT_1066258_224942_24022020070436_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","Prasannatha Rao Badey","Employees/Designated Employees","Equity Shares","22500","0.01",,"7426","4601109","Sell","Equity Shares","15074","0","18-Feb-2020","19-Feb-2020","20-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Feb-2020 18:49","https://archives.nseindia.com/corporate/xbrl/IT_1066256_224936_24022020064942_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jay Manilal Savla  (Momi's Trust)","Promoter Group","Equity Shares","307218","1.32",,"500","336990","Sell","Equity Shares","306718","1.32","20-Feb-2020","20-Feb-2020","24-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Feb-2020 18:44","https://archives.nseindia.com/corporate/xbrl/IT_1066253_224933_24022020064456_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jay Manilal Savla  (Momi's Trust)","Promoter Group","Equity Shares","307718","1.32",,"500","333495","Sell","Equity Shares","307218","1.32","17-Feb-2020","17-Feb-2020","19-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Feb-2020 18:44","https://archives.nseindia.com/corporate/xbrl/IT_1066253_224933_24022020064456_WEB.xml"
