"SYMBOL ","COMPANY ","REGULATION ","NAME OF THE ACQUIRER/DISPOSER ","CATEGORY OF PERSON ","TYPE OF SECURITY (PRIOR) ","NO. OF SECURITY (PRIOR) ","% SHAREHOLDING (PRIOR) ","TYPE OF SECURITY (ACQUIRED/DISPLOSED) ","NO. OF SECURITIES (ACQUIRED/DISPLOSED) ","VALUE OF SECURITY (ACQUIRED/DISPLOSED) ","ACQUISITION/DISPOSAL TRANSACTION TYPE ","TYPE OF SECURITY (POST) ","NO. OF SECURITY (POST) ","% POST ","DATE OF ALLOTMENT/ACQUISITION FROM ","DATE OF ALLOTMENT/ACQUISITION TO ","DATE OF INITMATION TO COMPANY ","MODE OF ACQUISITION ","DERIVATIVE TYPE SECURITY ","DERIVATIVE CONTRACT SPECIFICATION ","NOTIONAL VALUE(BUY) ","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) ","NOTIONAL VALUE(SELL) ","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) ","EXCHANGE ","REMARK ","BROADCASTE DATE AND TIME ","XBRL "
"HCLTECH","HCL Technologies Limited","7(2)","KIRAN NADAR","Promoters","Equity Shares","460102","0.02",,"34500","0","Buy","Equity Shares","494602","0.02","24-Feb-2020","24-Feb-2020","25-Feb-2020","Off Market","-","-","0","0","0","0","NA","-","25-Feb-2020 17:42","https://archives.nseindia.com/corporate/xbrl/IT_1066318_225147_25022020054244_WEB.xml"
"LTI","Larsen & Toubro Infotech Limited","7(2)","MAKARAND GHANASHYAM DEOLALKAR","Employees/Designated Employees","Equity Shares","106374","0.06",,"1000","2010000","Sell","Equity Shares","105374","0.06","24-Feb-2020","24-Feb-2020","25-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Feb-2020 17:18","https://archives.nseindia.com/corporate/xbrl/IT_1066317_225140_25022020051852_WEB.xml"
"LTI","Larsen & Toubro Infotech Limited","7(2)","Dibyendu Halder","Employees/Designated Employees","Equity Shares","45500","0.03",,"2500","5000000","Sell","Equity Shares","43000","0.02","24-Feb-2020","24-Feb-2020","25-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Feb-2020 17:18","https://archives.nseindia.com/corporate/xbrl/IT_1066317_225140_25022020051852_WEB.xml"
"LTI","Larsen & Toubro Infotech Limited","7(2)","Anil Vazirani","Employees/Designated Employees","Equity Shares","66033","0.04",,"6033","12081157","Sell","Equity Shares","60000","0.03","20-Feb-2020","20-Feb-2020","24-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Feb-2020 17:18","https://archives.nseindia.com/corporate/xbrl/IT_1066317_225140_25022020051852_WEB.xml"
"MAXVIL","Max Ventures and Industries Limited","7(2)","SIVA ENTERPRISES PRIVATE LIMITED","Promoters","Equity Shares","19045245","12.99",,"72500","3840998","Buy","Equity Shares","19117745","13.04","19-Feb-2020","19-Feb-2020","24-Feb-2020","Market Purchase","-","-","0","0","0","0","NSE","-","25-Feb-2020 17:17","https://archives.nseindia.com/corporate/xbrl/IT_1066316_225138_25022020051732_WEB.xml"
"MAXVIL","Max Ventures and Industries Limited","7(2)","SIVA ENTERPRISES PRIVATE LIMITED","Promoters","Equity Shares","19117745","13.04",,"28300","1493421","Buy","Equity Shares","19146045","13.06","20-Feb-2020","20-Feb-2020","24-Feb-2020","Market Purchase","-","-","0","0","0","0","BSE","-","25-Feb-2020 17:17","https://archives.nseindia.com/corporate/xbrl/IT_1066316_225138_25022020051732_WEB.xml"
"MAXVIL","Max Ventures and Industries Limited","7(2)","Analjit Singh","Promoters","Equity Shares","4061844","2.77",,"32000","1703621","Buy","Equity Shares","4093844","2.79","20-Feb-2020","20-Feb-2020","25-Feb-2020","Market Purchase","-","-","0","0","0","0","BSE","-","25-Feb-2020 17:17","https://archives.nseindia.com/corporate/xbrl/IT_1066316_225138_25022020051732_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Dr. Lal PathLabs Employees Welfare Trust","Other","Equity Shares","903760","1.08",,"700","7000","Sell","Equity Shares","903060","1.08","20-Feb-2020","20-Feb-2020","24-Feb-2020","ESOP","-","-","0","0","0","0","NA","-","25-Feb-2020 17:04","https://archives.nseindia.com/corporate/xbrl/IT_1066312_225134_25022020050419_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Viswanathan Ramaswamy","Employees/Designated Employees","Equity Shares","46108","0",,"6100","1499746","Sell","Equity Shares","40008","0","24-Feb-2020","24-Feb-2020","25-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Feb-2020 17:01","https://archives.nseindia.com/corporate/xbrl/IT_1066311_225130_25022020050139_WEB.xml"
"TRIDENT","Trident Limited","7(2)","Trident Industrial Corp Limited","Promoter Group","Equity Shares","300000000","5.89",,"20000000","123165866","Buy","Equity Shares","320000000","6.28","24-Feb-2020","24-Feb-2020","25-Feb-2020","Inter-se-Transfer","-","-","0","0","0","0","NSE","-","25-Feb-2020 16:48","https://archives.nseindia.com/corporate/xbrl/IT_1066308_225120_25022020044812_WEB.xml"
"TRIDENT","Trident Limited","7(2)","MADHURAJ FOUNDATION","Promoter Group","Equity Shares","1414637010","27.76",,"20000000","122834134","Sell","Equity Shares","1394637010","27.37","24-Feb-2020","24-Feb-2020","25-Feb-2020","Inter-se-Transfer","-","-","0","0","0","0","NSE","-","25-Feb-2020 16:48","https://archives.nseindia.com/corporate/xbrl/IT_1066308_225120_25022020044812_WEB.xml"
"ADFFOODS","ADF Foods Limited","7(2)","Sumer B. Thakkar","Promoters","Equity Shares","9800","0.05",,"300","89835","Buy","Equity Shares","10100","0.05","24-Feb-2020","24-Feb-2020","25-Feb-2020","Market Purchase","-","-","0","0","0","0","BSE","-","25-Feb-2020 16:27","https://archives.nseindia.com/corporate/xbrl/IT_1066307_225111_25022020042754_WEB.xml"
"ADFFOODS","ADF Foods Limited","7(2)","Shivaan B. Thakkar","Promoters","Equity Shares","10000","0.05",,"300","89665","Buy","Equity Shares","10300","0.05","24-Feb-2020","24-Feb-2020","25-Feb-2020","Market Purchase","-","-","0","0","0","0","BSE","-","25-Feb-2020 16:15","https://archives.nseindia.com/corporate/xbrl/IT_1066305_225105_25022020041542_WEB.xml"
"ULTRACEMCO","UltraTech Cement Limited","7(2)","Pilani Investment and Industries Corporation Limited","Promoter Group","Equity Shares","4104321","1.42",,"80000","356867265","Sell","Equity Shares","4024321","1.39","19-Feb-2020","19-Feb-2020","21-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Feb-2020 16:11","https://archives.nseindia.com/corporate/xbrl/IT_1066302_225102_25022020041104_WEB.xml"
"ULTRACEMCO","UltraTech Cement Limited","7(2)","Pilani Investment and Industries Corporation Limited","Promoter Group","Equity Shares","4024321","1.39",,"126000","562080426","Sell","Equity Shares","3898321","1.35","20-Feb-2020","20-Feb-2020","24-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Feb-2020 16:11","https://archives.nseindia.com/corporate/xbrl/IT_1066302_225102_25022020041104_WEB.xml"
"EMAMIPAP","Emami Paper Mills Limited","7(2)","RAVIRAJ VINIYOG PRIVATE LIMITED","Promoters","Equity Shares","2906000","4.8",,"2900000","285505000","Pledge Revoke","Equity Shares","2906000","4.8","20-Feb-2020","20-Feb-2020","24-Feb-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","25-Feb-2020 15:52","https://archives.nseindia.com/corporate/xbrl/IT_1066301_225092_25022020035256_WEB.xml"
"EMAMIPAP","Emami Paper Mills Limited","7(2)","PRABHAKAR VINIYOG PRIVATE LIMITED","Promoters","Equity Shares","2808000","4.64",,"2807000","276349150","Pledge Revoke","Equity Shares","2808000","4.64","20-Feb-2020","20-Feb-2020","24-Feb-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","25-Feb-2020 15:52","https://archives.nseindia.com/corporate/xbrl/IT_1066301_225092_25022020035256_WEB.xml"
"GREENPANEL","Greenpanel Industries Limited","7(2)","NEELADRI BASU","Employees/Designated Employees","Equity Shares","500","0",,"1000","55840","Buy","Equity Shares","1500","0","20-Feb-2020","20-Feb-2020","22-Feb-2020","Market Purchase","-","-","0","0","0","0","BSE","-","25-Feb-2020 15:52","https://archives.nseindia.com/corporate/xbrl/IT_1066300_225089_25022020035205_WEB.xml"
"AURIONPRO","Aurionpro Solutions Limited","7(2)","AMIT SHETH","Promoters","Equity Shares","1668583","7.32",,"8221","44","Buy","Equity Shares","1676804","7.35","24-Feb-2020","24-Feb-2020","24-Feb-2020","Market Purchase","-","-","0","0","0","0","NSE","-","25-Feb-2020 15:51","https://archives.nseindia.com/corporate/xbrl/IT_1066299_225087_25022020035141_WEB.xml"
"AURIONPRO","Aurionpro Solutions Limited","7(2)","AMIT SHETH","Promoters","Equity Shares","1661583","7.29",,"7000","45","Buy","Equity Shares","1668583","7.32","24-Feb-2020","24-Feb-2020","24-Feb-2020","Market Purchase","-","-","0","0","0","0","BSE","-","25-Feb-2020 15:51","https://archives.nseindia.com/corporate/xbrl/IT_1066299_225087_25022020035141_WEB.xml"
"HDFCAMC","HDFC Asset Management Company Limited","7(2)","KRISHAN KUMAR DAGA","Employees/Designated Employees","Equity Shares","136722","0.06",,"456","1539000","Sell","Equity Shares","136266","0.06","24-Feb-2020","24-Feb-2020","24-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Feb-2020 15:31","https://archives.nseindia.com/corporate/xbrl/IT_1066294_225068_25022020033139_WEB.xml"
"MTEDUCARE","MT Educare Limited","7(2)","Mahesh Shetty","Promoters","Equity Shares","13809006","19.12",,"556553","7669300","Sell","Equity Shares","13252453","18.35","24-Feb-2020","24-Feb-2020","24-Feb-2020","Market Sale","-","-","0","0","0","0","BSE","-","25-Feb-2020 15:10","https://archives.nseindia.com/corporate/xbrl/IT_1066292_225047_25022020031056_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","Ajay Gupta","Employees/Designated Employees","Equity Shares","354343","0",,"15375","1612376","Buy","Equity Shares","369718","0","06-Feb-2020","06-Feb-2020","25-Feb-2020","ESOP","-","-","0","0","0","0","NA","-","25-Feb-2020 15:09","https://archives.nseindia.com/corporate/xbrl/IT_1066291_225042_25022020030954_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","ARNAB CHAKRAVARTI","Employees/Designated Employees","Equity Shares","2000","0",,"2000","1065200","Sell","Equity Shares","Nil","0","25-Feb-2020","25-Feb-2020","25-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Feb-2020 15:09","https://archives.nseindia.com/corporate/xbrl/IT_1066291_225042_25022020030954_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","ANUBHAV SRIVASTAVA","Employees/Designated Employees","Equity Shares","25000","0",,"25000","13582850","Pledge Invoke","Equity Shares","Nil","0","18-Feb-2020","19-Feb-2020","25-Feb-2020","Invocation of pledge","-","-","0","0","0","0","NSE","-","25-Feb-2020 15:09","https://archives.nseindia.com/corporate/xbrl/IT_1066291_225042_25022020030954_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","Vishakha Vivek Mulye","Key Managerial Personnel","Equity Shares","1037487","0",,"50000","27450000","Sell","Equity Shares","987487","0","20-Feb-2020","20-Feb-2020","24-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Feb-2020 15:09","https://archives.nseindia.com/corporate/xbrl/IT_1066291_225042_25022020030954_WEB.xml"
"SOBHA","Sobha Limited","7(2)","Jagdish Chandra Sharma","Key Managerial Personnel","Equity Shares","50000","0.05",,"10000","3195731","Buy","Equity Shares","60000","0.06","24-Feb-2020","24-Feb-2020","25-Feb-2020","Market Purchase","-","-","0","0","0","0","NSE","-","25-Feb-2020 14:19","https://archives.nseindia.com/corporate/xbrl/IT_1066288_225028_25022020021935_WEB.xml"
"SUNDARMFIN","Sundaram Finance Limited","7(2)","MR BARATH RENGARAJAN","Other","Equity Shares","395421","0.36",,"8687","14212904","Sell","Equity Shares","386734","0.35","24-Feb-2020","24-Feb-2020","25-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Feb-2020 14:17","https://archives.nseindia.com/corporate/xbrl/IT_1066287_225026_25022020021728_WEB.xml"
"AIAENG","AIA Engineering Limited","7(2)","Balkrishna Shah","Employees/Designated Employees","Equity Shares","47182","0.05",,"200","382000","Sell","Equity Shares","46982","0.05","24-Feb-2020","24-Feb-2020","25-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Feb-2020 14:14","https://archives.nseindia.com/corporate/xbrl/IT_1066286_225022_25022020021425_WEB.xml"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","7(2)","Puneet Nanda","Director","Equity Shares","180000","0.01",,"30000","15035908","Sell","Equity Shares","150000","0.01","20-Feb-2020","20-Feb-2020","24-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Feb-2020 12:47","https://archives.nseindia.com/corporate/xbrl/IT_1066282_225017_25022020124722_WEB.xml"
"WHEELS","Wheels India Limited","7(2)","Titan Europe Limited","Promoters","Equity Shares","5729504","23.81",,"916592","510582624","Sell","Equity Shares","4812912","20","20-Feb-2020","20-Feb-2020","24-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Feb-2020 12:04","https://archives.nseindia.com/corporate/xbrl/IT_1066279_225014_25022020120432_WEB.xml"
"NCC","NCC Limited","7(2)","SUGUNA ALLURI","Promoters","Equity Shares","68202","0.01",,"68202","2847434","Sell","Equity Shares","Nil","0","19-Feb-2020","19-Feb-2020","22-Feb-2020","Market Sale","-","-","0","0","0","0","BSE","-","25-Feb-2020 11:45","https://archives.nseindia.com/corporate/xbrl/IT_1066277_225005_25022020114517_WEB.xml"
"NCC","NCC Limited","7(2)","SRINIVAS RAMA RAJU ALLURI","Promoters","Equity Shares","3219168","0.53",,"142500","6226439","Sell","Equity Shares","3076668","0.5","20-Feb-2020","20-Feb-2020","24-Feb-2020","Market Sale","-","-","0","0","0","0","BSE","-","25-Feb-2020 11:45","https://archives.nseindia.com/corporate/xbrl/IT_1066277_225005_25022020114517_WEB.xml"
"NCC","NCC Limited","7(2)","SIRISHA PROJECTS PRIVATE LIMITEDS","Promoters","Equity Shares","11214226","1.84",,"68202","2857714","Buy","Equity Shares","11282428","1.85","19-Feb-2020","19-Feb-2020","21-Feb-2020","Market Purchase","-","-","0","0","0","0","BSE","-","25-Feb-2020 11:45","https://archives.nseindia.com/corporate/xbrl/IT_1066277_225005_25022020114517_WEB.xml"
