symbol,company,regulation,nameoftheacquirerdisposer,categoryofperson,typeofsecurityprior,noofsecurityprior,shareholdingprior,typeofsecurityacquireddisplosed,noofsecuritiesacquireddisplosed,valueofsecurityacquireddisplosed,acquisitiondisposaltransactiontype,typeofsecuritypost,noofsecuritypost,post,dateofallotmentacquisitionfrom,dateofallotmentacquisitionto,dateofinitmationtocompany,modeofacquisition,derivativetypesecurity,derivativecontractspecification,notionalvaluebuy,numberofunitscontractlotsizebuy,notionalvaluesell,numberofunitscontractlotsizesell,exchange,remark,broadcastedateandtime,xbrl,scripcode,mseisymbol,companyname,isin,personcategory,personname,instrumenttype,securitynumberheldprior,securitiespercentageheldprior,noofsecurities,securityvalue,securitytype,postsecurities,postsecuritypercentage,allotmentadvicedate,saleofsharesspecifytodate,dateofintimation,modeofacquisionordisposal,exchangeonwhichthetradewasexecuted,valueinaggregate
BIGBLOC,Bigbloc Construction Limited,7(2),MADHU SABOO,Promoter Group,Equity Shares,935815,6.61,,153000.0,21205800,Sell,Equity Shares,782815,5.53,29-Jun-2018,29-Jun-2018,30-Jun-2018,Market Sale,-,-,0,0,0,0,NSE,-,30-Jun-2018 18:46,https://archives.nseindia.com/corporate/xbrl/IT_1037868_16457_30062018064655_WEB.xml,540061,NOTLISTED,Bigbloc Construction Limited,INE412U01017,Promoter Group,MADHU SABOO,Equity Shares,935815,6.61,153000,21205800.0,Sell,782815,5.53,2018-06-29,2018-06-29,2018-06-30,Market Sale,NSE,21205800.0
BIGBLOC,Bigbloc Construction Limited,7(2),AYUSHI SABOO,Promoter Group,Equity Shares,200000,1.41,,47000.0,6561200,Sell,Equity Shares,153000,1.08,29-Jun-2018,29-Jun-2018,30-Jun-2018,Market Sale,-,-,0,0,0,0,BSE,-,30-Jun-2018 18:20,https://archives.nseindia.com/corporate/xbrl/IT_1037867_16455_30062018062009_WEB.xml,540061,NOTLISTED,Bigbloc Construction Limited,INE412U01017,Promoter Group,AYUSHI SABOO,Equity Shares,200000,1.41,47000,6561200.0,Sell,153000,1.08,2018-06-29,2018-06-29,2018-06-30,Market Sale,BSE,6561200.0
MALUPAPER,Malu Paper Mills Limited,7(2),BHARAT MALU,Promoters,Equity Shares,240478,1.41,,2000.0,74200,Buy,Equity Shares,242478,1.42,27-Jun-2018,27-Jun-2018,30-Jun-2018,Market Purchase,-,-,0,0,0,0,BSE,-,30-Jun-2018 17:17,https://archives.nseindia.com/corporate/xbrl/IT_1037865_16453_30062018051705_WEB.xml,0,NOTLISTED,Malu Paper Mills Limited,INE383H01017,Promoters,BHARAT MALU,Equity Shares,240478,1.41,2000,74200.0,Buy,242478,1.42,2018-06-27,2018-06-27,2018-06-30,Market Purchase,BSE,74200.0
ADANIENT,Adani Enterprises Limited,7(2),Gautam S Adani / Rajesh S Adani (on behalf of S.B. Adani Family Trust),Promoter Group,Equity Shares,621197910,56.48,,3900000.0,426500000,Pledge,Equity Shares,621197910,56.48,28-Jun-2018,28-Jun-2018,30-Jun-2018,Pledge Creation,-,-,0,0,0,0,,-,30-Jun-2018 16:48,https://archives.nseindia.com/corporate/xbrl/IT_1037863_16450_30062018044820_WEB.xml,0,NOTLISTED,Adani Enterprises Limited,INE423A01024,Promoter Group,Gautam S Adani / Rajesh S Adani (on behalf of S.B. Adani Family Trust),Equity Shares,621197910,56.48,3900000,426500000.0,Pledge,621197910,56.48,2018-06-28,2018-06-28,2018-06-30,Pledge Creation,,426500000.0
BIGBLOC,Bigbloc Construction Limited,7(2),MANISH NARAYAN SABOO,Director,Equity Shares,265440,1.87,,47000.0,6514200,Sell,Equity Shares,218440,1.54,29-Jun-2018,29-Jun-2018,30-Jun-2018,Market Sale,-,-,0,0,0,0,NSE,-,30-Jun-2018 16:12,https://archives.nseindia.com/corporate/xbrl/IT_1037860_16447_30062018041201_WEB.xml,540061,NOTLISTED,Bigbloc Construction Limited,INE412U01017,Director,MANISH NARAYAN SABOO,Equity Shares,265440,1.87,47000,6514200.0,Sell,218440,1.54,2018-06-29,2018-06-29,2018-06-30,Market Sale,NSE,6514200.0
LOKESHMACH,Lokesh Machines Limited,7(2),B KISHORE BABU,Promoter Group,Equity Shares,1097009,6.13,,10000.0,560000,Sell,Equity Shares,1087009,6.07,29-Jun-2018,29-Jun-2018,30-Jun-2018,Off Market,-,-,0,0,0,0,,-,30-Jun-2018 15:47,https://archives.nseindia.com/corporate/xbrl/IT_1037858_16445_30062018034744_WEB.xml,532740,NOTLISTED,Lokesh Machines Limited,INE397H01017,Promoter Group,B KISHORE BABU,Equity Shares,1097009,6.13,10000,560000.0,Sell,1087009,6.07,2018-06-29,2018-06-29,2018-06-30,Off Market,,560000.0
GPIL,Godawari Power And Ispat limited,7(2),Yarra Chandra Rao,Employees/Designated Employees,Equity Shares,200,0.0,,150.0,66557,Sell,Equity Shares,50,0.00,28-Jun-2018,28-Jun-2018,29-Jun-2018,Market Sale,-,-,0,0,0,0,NSE,-,30-Jun-2018 14:09,https://archives.nseindia.com/corporate/xbrl/IT_1037853_16443_30062018020903_WEB.xml,532734,NOTLISTED,Godawari Power And Ispat limited,INE177H01013,Employees/Designated Employees,Yarra Chandra Rao,Equity Shares,200,0.0,150,66557.0,Sell,50,0.0,2018-06-28,2018-06-28,2018-06-29,Market Sale,NSE,66557.0
ADANITRANS,Adani Transmission Limited,7(2),Shri Gautam S. Adani/Shri Rajesh S. Adani (on behalf of S. B. Adani Family Trust),Promoter Group,Equity Shares,621197910,56.48,,1700000.0,249100000,Pledge,Equity Shares,621197910,56.48,28-Jun-2018,28-Jun-2018,30-Jun-2018,Pledge Creation,-,-,0,0,0,0,,-,30-Jun-2018 14:05,https://archives.nseindia.com/corporate/xbrl/IT_1037856_16442_30062018020542_WEB.xml,539254,NOTLISTED,Adani Transmission Limited,INE931S01010,Promoter Group,Shri Gautam S. Adani/Shri Rajesh S. Adani (on behalf of S. B. Adani Family Trust),Equity Shares,621197910,56.48,1700000,249100000.0,Pledge,621197910,56.48,2018-06-28,2018-06-28,2018-06-30,Pledge Creation,,249100000.0
KMSUGAR,K.M.Sugar Mills Limited,7(2),ADITYA JHUNJHUNWALA,Promoters,Equity Shares,3837513,4.17,,31959.0,257269.95,Buy,Equity Shares,3869472,4.21,29-Jun-2018,29-Jun-2018,29-Jun-2018,Market Purchase,-,-,0,0,0,0,"BSE,NSE",-,30-Jun-2018 13:27,https://archives.nseindia.com/corporate/xbrl/IT_1037855_16438_30062018012735_WEB.xml,0,NOTLISTED,K.M.Sugar Mills Limited,INE157H01023,Promoters,ADITYA JHUNJHUNWALA,Equity Shares,3837513,4.17,31959,257269.95,Buy,3869472,4.21,2018-06-29,2018-06-29,2018-06-29,Market Purchase,"BSE,NSE",257269.95
WSTCSTPAPR,West Coast Paper Mills Limited,7(2),Shri Saurabh Bangur,Director,Equity Shares,1556530,2.36,,10000.0,2515766.48,Buy,Equity Shares,1566530,2.37,28-Jun-2018,28-Jun-2018,29-Jun-2018,Market Purchase,-,-,0,0,0,0,NSE,-,30-Jun-2018 12:13,https://archives.nseindia.com/corporate/xbrl/IT_1037852_16427_30062018121352_WEB.xml,500444,NOTLISTED,West Coast Paper Mills Limited,INE976A01021,Director,Shri Saurabh Bangur,Equity Shares,1556530,2.36,10000,2515766.48,Buy,1566530,2.37,2018-06-28,2018-06-28,2018-06-29,Market Purchase,NSE,2515766.48
VSSL,Vardhman Special Steels Limited,7(2),SACHIT JAIN,Promoters,Equity Shares,4623706,12.95,,5000.0,603850,Buy,Equity Shares,4628706,12.97,29-Jun-2018,29-Jun-2018,30-Jun-2018,Market Purchase,-,-,0,0,0,0,"BSE,NSE",-,30-Jun-2018 11:55,https://archives.nseindia.com/corporate/xbrl/IT_1037851_16424_30062018115531_WEB.xml,534392,NOTLISTED,Vardhman Special Steels Limited,INE050M01012,Promoters,SACHIT JAIN,Equity Shares,4623706,12.95,5000,603850.0,Buy,4628706,12.97,2018-06-29,2018-06-29,2018-06-30,Market Purchase,"BSE,NSE",603850.0
M&M,Mahindra & Mahindra Limited,7(2),Mr. Nadir B. Godrej,Director,Equity Shares,1137372,0.09,,500.0,450511,Buy,Equity Shares,1137872,0.09,29-Jun-2018,29-Jun-2018,29-Jun-2018,Market Purchase,-,-,0,0,0,0,BSE,-,29-Jun-2018 21:19,https://archives.nseindia.com/corporate/xbrl/IT_1037848_16413_29062018091914_WEB.xml,500520,NOTLISTED,Mahindra & Mahindra Limited,INE101A01026,Director,Mr. Nadir B. Godrej,Equity Shares,1137372,0.09,500,450511.0,Buy,1137872,0.09,2018-06-29,2018-06-29,2018-06-29,Market Purchase,BSE,450511.0
DOLPHINOFF,,7(2),Dolphin Offshore Enterprises (India) Limited,Promoters,Equity Shares,548857,0.0,,300000.0,19230000,Pledge,Equity Shares,548857,0.00,04-May-2018,04-May-2018,29-Jun-2018,Pledge Creation,-,-,0,0,0,0,,-,29-Jun-2018 20:38,https://archives.nseindia.com/corporate/xbrl/IT_1037846_16412_29062018081729_WEB.xml,0,NOTLISTED,Dolphin Offshore Enterprises (India) Limited,INE920A01011,Promoters,Dolphin Offshore Enterprises (India) Limited,Equity Shares,548857,0.0,300000,19230000.0,Pledge,548857,0.0,2018-05-04,2018-05-04,2018-06-29,Pledge Creation,,19230000.0
DOLPHINOFF,,7(2),Dolphin Offshore Enterprises (India) Limited,Promoters,Equity Shares,921923,0.0,,450000.0,28845000,Pledge,Equity Shares,921923,0.00,06-Jun-2018,06-Jun-2018,29-Jun-2018,Pledge Creation,-,-,0,0,0,0,,-,29-Jun-2018 20:37,https://archives.nseindia.com/corporate/xbrl/IT_1037845_16411_29062018081357_WEB.xml,0,NOTLISTED,Dolphin Offshore Enterprises (India) Limited,INE920A01011,Promoters,Dolphin Offshore Enterprises (India) Limited,Equity Shares,921923,0.0,450000,28845000.0,Pledge,921923,0.0,2018-06-06,2018-06-06,2018-06-29,Pledge Creation,,28845000.0
