"SYMBOL ","COMPANY ","REGULATION ","NAME OF THE ACQUIRER/DISPOSER ","CATEGORY OF PERSON ","TYPE OF SECURITY (PRIOR) ","NO. OF SECURITY (PRIOR) ","% SHAREHOLDING (PRIOR) ","TYPE OF SECURITY (ACQUIRED/DISPLOSED) ","NO. OF SECURITIES (ACQUIRED/DISPLOSED) ","VALUE OF SECURITY (ACQUIRED/DISPLOSED) ","ACQUISITION/DISPOSAL TRANSACTION TYPE ","TYPE OF SECURITY (POST) ","NO. OF SECURITY (POST) ","% POST ","DATE OF ALLOTMENT/ACQUISITION FROM ","DATE OF ALLOTMENT/ACQUISITION TO ","DATE OF INITMATION TO COMPANY ","MODE OF ACQUISITION ","DERIVATIVE TYPE SECURITY ","DERIVATIVE CONTRACT SPECIFICATION ","NOTIONAL VALUE(BUY) ","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) ","NOTIONAL VALUE(SELL) ","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) ","EXCHANGE ","REMARK ","BROADCASTE DATE AND TIME ","XBRL "
"ITC","ITC Limited","7(2)","M. GANESAN","Employees/Designated Employees","Equity Shares","348400","0",,"30000","7795000","Sell","Equity Shares","318400","0.00","30-Sep-2019","30-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
"ITC","ITC Limited","7(2)","MAYUR GOHIL","Employees/Designated Employees","Equity Shares","48690","0",,"24000","6070800","Sell","Equity Shares","24690","0.00","27-Sep-2019","27-Sep-2019","27-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
"ITC","ITC Limited","7(2)","NAZEEB ARIF","Employees/Designated Employees","Equity Shares","224239","0",,"26000","6513000","Sell","Equity Shares","198239","0.00","26-Sep-2019","26-Sep-2019","27-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
"ITC","ITC Limited","7(2)","NAZEEB ARIF","Employees/Designated Employees","Equity Shares","198239","0",,"20000","5002000","Sell","Equity Shares","178239","0.00","26-Sep-2019","26-Sep-2019","27-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
"ITC","ITC Limited","7(2)","NAZEEB ARIF","Employees/Designated Employees","Equity Shares","178239","0",,"14000","3576494","Sell","Equity Shares","164239","0.00","27-Sep-2019","27-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
"ITC","ITC Limited","7(2)","VIDYAPRAKASH P MENON","Employees/Designated Employees","Equity Shares","212190","0",,"5000","1285514","Sell","Equity Shares","207190","0.00","27-Sep-2019","27-Sep-2019","28-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
"ITC","ITC Limited","7(2)","B. SUMANT","Director","Equity Shares","463457","0",,"15000","3846343","Sell","Equity Shares","448457","0.00","27-Sep-2019","27-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
"ITC","ITC Limited","7(2)","DEBOJIT GHOSH","Employees/Designated Employees","Equity Shares","145385","0",,"4000","1040000","Sell","Equity Shares","141385","0.00","30-Sep-2019","30-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
"ITC","ITC Limited","7(2)","B HARIHARAN","Employees/Designated Employees","Equity Shares","344010","0",,"1000","253650","Sell","Equity Shares","343010","0.00","30-Sep-2019","30-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
"ITC","ITC Limited","7(2)","B HARIHARAN","Employees/Designated Employees","Equity Shares","338010","0",,"6000","997800","Buy","Equity Shares","344010","0.00","23-Sep-2019","23-Sep-2019","30-Sep-2019","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
"ITC","ITC Limited","7(2)","DIPAK HAKSAR","Employees/Designated Employees","Equity Shares","362989","0",,"2500","643875","Sell","Equity Shares","360489","0.00","27-Sep-2019","27-Sep-2019","27-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
"HINDUNILVR","Hindustan Unilever Limited","7(2)","NP SEETHARAM","Employees/Designated Employees","Equity Shares","9965","0",,"8500","17114978","Sell","Equity Shares","1465","0.00","24-Sep-2019","25-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 19:46","https://archives.nseindia.com/corporate/xbrl/IT_1057745_138617_30092019074649_WEB.xml"
"CARBORUNIV","Carborundum Universal Limited","7(2)","SIVAKUMARAN M V","Employees/Designated Employees","Equity Shares","33000","0.02",,"4000","1216161","Sell","Equity Shares","29000","0.02","26-Sep-2019","26-Sep-2019","27-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 19:35","https://archives.nseindia.com/corporate/xbrl/IT_1057744_138610_30092019073503_WEB.xml"
"VIKASECO","Vikas EcoTech Limited","7(2)","Vikas Multicorp Limited","Promoters","Equity Shares","37033057","13.23",,"97099","377825","Pledge Invoke","Equity Shares","36935958","13.19","24-Sep-2019","24-Sep-2019","26-Sep-2019","Invocation of pledge","-","-","0","0","0","0","BSE,NSE","-","30-Sep-2019 19:32","https://archives.nseindia.com/corporate/xbrl/IT_1057743_138609_30092019073202_WEB.xml"
"GODREJCP","Godrej Consumer Products Limited","7(2)","Pheroza Godrej","Promoter Group","Equity Shares","Nil","0",,"9640700","0","Buy","Equity Shares","9640700","0.94","27-Sep-2019","27-Sep-2019","30-Sep-2019","Gift","-","-","0","0","0","0","NA","-","30-Sep-2019 19:27","https://archives.nseindia.com/corporate/xbrl/IT_1057742_138606_30092019072722_WEB.xml"
"GODREJCP","Godrej Consumer Products Limited","7(2)","Navroze Godrej","Promoter Group","Equity Shares","4820427","0.47",,"4820350","0","Sell","Equity Shares","77","0.00","27-Sep-2019","27-Sep-2019","30-Sep-2019","Gift","-","-","0","0","0","0","NA","-","30-Sep-2019 19:27","https://archives.nseindia.com/corporate/xbrl/IT_1057742_138606_30092019072722_WEB.xml"
"GODREJCP","Godrej Consumer Products Limited","7(2)","Raika Godrej","Promoter Group","Equity Shares","4820400","0.47",,"4820350","0","Sell","Equity Shares","50","0.00","27-Sep-2019","27-Sep-2019","30-Sep-2019","Gift","-","-","0","0","0","0","NA","-","30-Sep-2019 19:27","https://archives.nseindia.com/corporate/xbrl/IT_1057742_138606_30092019072722_WEB.xml"
"IBREALEST","Indiabulls Real Estate Limited","7(2)","Manish Wakade","Employees/Designated Employees","Equity Shares","99400","0.02",,"80000","4652455","Sell","Equity Shares","19400","0.00","23-Sep-2019","26-Sep-2019","26-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 19:26","https://archives.nseindia.com/corporate/xbrl/IT_1057741_138605_30092019072633_WEB.xml"
"ALLSEC","Allsec Technologies Limited","7(2)","R.Jagadish","Promoters","Equity Shares","3036952","19.93",,"2655994","847262086","Sell","Equity Shares","380958","2.49","03-Jun-2019","03-Jun-2019","26-Sep-2019","Others","-","-","0","0","0","0","NA","-","30-Sep-2019 19:15","https://archives.nseindia.com/corporate/xbrl/IT_1057737_138602_30092019071533_WEB.xml"
"ALLSEC","Allsec Technologies Limited","7(2)","A.Saravanan","Promoters","Equity Shares","3112119","20.42",,"2731161","871240359","Sell","Equity Shares","380958","2.49","03-Jun-2019","03-Jun-2019","26-Sep-2019","Others","-","-","0","0","0","0","NA","-","30-Sep-2019 19:15","https://archives.nseindia.com/corporate/xbrl/IT_1057737_138602_30092019071533_WEB.xml"
"KEC","KEC International Limited","7(2)","Crystal India Tech Trust","Promoters","Equity Shares","1","0",,"24990","6867252","Buy","Equity Shares","24991","0.01","27-Sep-2019","27-Sep-2019","30-Sep-2019","Inter-se-Transfer","-","-","0","0","0","0","NA","-","30-Sep-2019 19:12","https://archives.nseindia.com/corporate/xbrl/IT_1057739_138601_30092019071227_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","SHRINIVAS MADUKAR KABBE","Employees/Designated Employees","Equity Shares","35698","0",,"500","357500.00","Sell","Equity Shares","35198","0.00","27-Sep-2019","27-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 19:11","https://archives.nseindia.com/corporate/xbrl/IT_1057710_138600_30092019071123_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","BIRENDRA SEN","Employees/Designated Employees","Equity Shares","8852","0",,"852","599808.00","Sell","Equity Shares","8000","0.00","30-Sep-2019","30-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 19:11","https://archives.nseindia.com/corporate/xbrl/IT_1057710_138600_30092019071123_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","M RAJYALAKSHMI RAO","Employees/Designated Employees","Equity Shares","17250","0",,"12006","8560655.00","Sell","Equity Shares","5244","0.00","25-Sep-2019","27-Sep-2019","27-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 19:11","https://archives.nseindia.com/corporate/xbrl/IT_1057710_138600_30092019071123_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","SIMMI DHAMIJA","Employees/Designated Employees","Equity Shares","11462","0",,"3200","2188320.00","Buy","Equity Shares","14662","0.00","26-Sep-2019","26-Sep-2019","30-Sep-2019","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2019 19:11","https://archives.nseindia.com/corporate/xbrl/IT_1057710_138600_30092019071123_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","Manish Choudhary","Employees/Designated Employees","Equity Shares","Nil","0",,"12000","8415000.00","Buy","Equity Shares","12000","0.00","26-Sep-2019","26-Sep-2019","29-Sep-2019","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2019 19:11","https://archives.nseindia.com/corporate/xbrl/IT_1057710_138600_30092019071123_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","RAMACHANDRAN SATYAMURTHI RAMACHANDR","Employees/Designated Employees","Equity Shares","48090","0",,"11200","7062496.00","Buy","Equity Shares","59290","0.00","26-Sep-2019","26-Sep-2019","27-Sep-2019","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2019 19:11","https://archives.nseindia.com/corporate/xbrl/IT_1057710_138600_30092019071123_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","Vipin Kumar Gudwani","Employees/Designated Employees","Equity Shares","4000","0",,"4000","2600520.00","Buy","Equity Shares","8000","0.00","26-Sep-2019","26-Sep-2019","27-Sep-2019","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2019 19:11","https://archives.nseindia.com/corporate/xbrl/IT_1057710_138600_30092019071123_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","M RAJYALAKSHMI RAO","Employees/Designated Employees","Equity Shares","18750","0",,"1500","1054500.00","Sell","Equity Shares","17250","0.00","24-Sep-2019","24-Sep-2019","26-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 19:11","https://archives.nseindia.com/corporate/xbrl/IT_1057710_138600_30092019071123_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","Basanta Kumar Mishra","Employees/Designated Employees","Equity Shares","19000","0",,"3750","2671619.00","Sell","Equity Shares","15250","0.00","30-Sep-2019","30-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","BSE,NSE","-","30-Sep-2019 19:11","https://archives.nseindia.com/corporate/xbrl/IT_1057710_138600_30092019071123_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","Himanshu Gupta","Employees/Designated Employees","Equity Shares","23105","0.01",,"8070","968400","Buy","Equity Shares","31175","0.01","07-Aug-2019","07-Aug-2019","27-Sep-2019","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2019 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1057738_138599_30092019070816_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","Himanshu Gupta","Employees/Designated Employees","Equity Shares","31175","0.01",,"3600","1405800","Sell","Equity Shares","27575","0.01","26-Sep-2019","26-Sep-2019","27-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1057738_138599_30092019070816_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","Rupesh Kalokhe","Employees/Designated Employees","Equity Shares","17242","0",,"7080","849600","Buy","Equity Shares","24322","0.01","19-Jul-2019","19-Jul-2019","30-Sep-2019","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2019 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1057738_138599_30092019070816_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","Shobha Iyer","Employees/Designated Employees","Equity Shares","14860","0",,"5000","1970000","Sell","Equity Shares","9860","0.00","25-Sep-2019","26-Sep-2019","27-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1057738_138599_30092019070816_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","Shobha Iyer","Employees/Designated Employees","Equity Shares","9080","0",,"5780","693600","Buy","Equity Shares","14860","0.00","23-Aug-2019","23-Aug-2019","27-Sep-2019","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2019 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1057738_138599_30092019070816_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","Keshav Mishra","Employees/Designated Employees","Equity Shares","49750","0.01",,"18500","6068000","Pledge","Equity Shares","49750","0.01","30-Sep-2019","30-Sep-2019","30-Sep-2019","Pledge Creation","-","-","0","0","0","0","NA","-","30-Sep-2019 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1057738_138599_30092019070816_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","Rupesh Kalokhe","Employees/Designated Employees","Equity Shares","24322","0.01",,"10000","3316300","Pledge Invoke","Equity Shares","14322","0.00","30-Sep-2019","30-Sep-2019","30-Sep-2019","Invocation of pledge","-","-","0","0","0","0","BSE","-","30-Sep-2019 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1057738_138599_30092019070816_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Sunita Daryani","Employees/Designated Employees","Equity Shares","914","0",,"240","498000","Sell","Equity Shares","674","0.00","27-Sep-2019","27-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 19:07","https://archives.nseindia.com/corporate/xbrl/IT_1057736_138598_30092019070756_WEB.xml"
"BHARTIARTL","Bharti Airtel Limited","7(2)","Vani Venkatesh","Employees/Designated Employees","Equity Shares","10","0",,"8524","1080430.70","Buy","Equity Shares","8534","0.00","24-Sep-2019","24-Sep-2019","26-Sep-2019","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2019 19:02","https://archives.nseindia.com/corporate/xbrl/IT_1057735_138597_30092019070224_WEB.xml"
"IBVENTURES","Indiabulls Ventures Limited","7(2)","Manish Dhanda","Employees/Designated Employees","Equity Shares","86200","0.01",,"7700","1385181","Sell","Equity Shares","78500","0.01","01-Jul-2019","28-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 19:01","https://archives.nseindia.com/corporate/xbrl/IT_1057705_138596_30092019070120_WEB.xml"
"IBVENTURES","Indiabulls Ventures Limited","7(2)","Pranav Shah","Employees/Designated Employees","Equity Shares","308447","0.05",,"25000","4235410","Sell","Equity Shares","283447","0.05","16-Sep-2019","27-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 19:01","https://archives.nseindia.com/corporate/xbrl/IT_1057705_138596_30092019070120_WEB.xml"
"KEC","KEC International Limited","7(2)","Atlantus Dwellings and Infrastructure LLP","Promoters","Equity Shares","25000","0.01",,"24990","6867252","Sell","Equity Shares","10","0.00","27-Sep-2019","27-Sep-2019","30-Sep-2019","Inter-se-Transfer","-","-","0","0","0","0","NA","-","30-Sep-2019 19:00","https://archives.nseindia.com/corporate/xbrl/IT_1057734_138594_30092019070042_WEB.xml"
"IBULHSGFIN","Indiabulls Housing Finance Limited","7(2)","Piyush Premchand Patni","Employees/Designated Employees","Equity Shares","16200","0",,"10000","2530000","Sell","Equity Shares","6200","0.00","30-Sep-2019","30-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 18:58","https://archives.nseindia.com/corporate/xbrl/IT_1057717_138592_30092019065820_WEB.xml"
"L&TFH","L&T Finance Holdings Limited","7(2)","Sumit Iyer","Employees/Designated Employees","Equity Shares","25000","0",,"5000","494250","Sell","Equity Shares","20000","0.00","23-Sep-2019","23-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 18:57","https://archives.nseindia.com/corporate/xbrl/IT_1057733_138591_30092019065727_WEB.xml"
"L&TFH","L&T Finance Holdings Limited","7(2)","Sumit Iyer","Employees/Designated Employees","Equity Shares","15000","0",,"10000","949000","Sell","Equity Shares","5000","0.00","26-Sep-2019","26-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 18:57","https://archives.nseindia.com/corporate/xbrl/IT_1057733_138591_30092019065727_WEB.xml"
"L&TFH","L&T Finance Holdings Limited","7(2)","Sumit Iyer","Employees/Designated Employees","Equity Shares","20000","0",,"5000","503500","Sell","Equity Shares","15000","0.00","24-Sep-2019","24-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 18:57","https://archives.nseindia.com/corporate/xbrl/IT_1057733_138591_30092019065727_WEB.xml"
"AXISBANK","Axis Bank Limited","7(2)","Vandana Garg","Other","Equity Shares","3300","0",,"700","352100","Buy","Equity Shares","4000","0.00","17-Sep-2019","17-Sep-2019","27-Sep-2019","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2019 18:52","https://archives.nseindia.com/corporate/xbrl/IT_1057731_138590_30092019065257_WEB.xml"
"AXISBANK","Axis Bank Limited","7(2)","Arabinda Sahu","Other","Equity Shares","39730","0",,"1430","1147249","Sell","Equity Shares","38300","0.00","23-May-2019","27-May-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 18:52","https://archives.nseindia.com/corporate/xbrl/IT_1057731_138590_30092019065257_WEB.xml"
"TVTODAY","TV Today Network Limited","7(2)","RAHUL KUMAR SHAW","Employees/Designated Employees","Equity Shares","21001","0.04",,"1953","595790","Buy","Equity Shares","22954","0.04","27-Sep-2019","27-Sep-2019","30-Sep-2019","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2019 18:45","https://archives.nseindia.com/corporate/xbrl/IT_1057726_138588_30092019064546_WEB.xml"
"ASIANHOTNR","Asian Hotels (North) Limited","7(2)","SHIV KUMAR JATIA","Promoters","Equity Shares","2598027","13.36",,"45000","4848750","Buy","Equity Shares","2643027","13.59","27-Sep-2019","27-Sep-2019","30-Sep-2019","Revokation of Pledge","-","-","0","0","0","0","NA","-","30-Sep-2019 18:44","https://archives.nseindia.com/corporate/xbrl/IT_1057698_138587_30092019064419_WEB.xml"
"ASIANHOTNR","Asian Hotels (North) Limited","7(2)","SHIV KUMAR JATIA","Promoters","Equity Shares","2643027","13.59",,"45000","4704750","Pledge","Equity Shares","2643027","13.59","28-Sep-2019","28-Sep-2019","30-Sep-2019","Pledge Creation","-","-","0","0","0","0","NA","-","30-Sep-2019 18:44","https://archives.nseindia.com/corporate/xbrl/IT_1057698_138587_30092019064419_WEB.xml"
"ASIANHOTNR","Asian Hotels (North) Limited","7(2)","SHIV KUMAR JATIA","Promoters","Equity Shares","2548027","13.1",,"50000","5302500","Buy","Equity Shares","2598027","13.36","26-Sep-2019","26-Sep-2019","30-Sep-2019","Revokation of Pledge","-","-","0","0","0","0","NA","-","30-Sep-2019 18:44","https://archives.nseindia.com/corporate/xbrl/IT_1057698_138587_30092019064419_WEB.xml"
"ASIANHOTNR","Asian Hotels (North) Limited","7(2)","SHIV KUMAR JATIA","Promoters","Equity Shares","2598027","13.36",,"50000","5387500","Pledge","Equity Shares","2598027","13.36","27-Sep-2019","27-Sep-2019","30-Sep-2019","Pledge Creation","-","-","0","0","0","0","NA","-","30-Sep-2019 18:44","https://archives.nseindia.com/corporate/xbrl/IT_1057698_138587_30092019064419_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","Mayank Agrawal","Employees/Designated Employees","Equity Shares","38000","0",,"16500","3320625","Buy","Equity Shares","54500","0.00","27-Sep-2019","27-Sep-2019","30-Sep-2019","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2019 18:44","https://archives.nseindia.com/corporate/xbrl/IT_1057725_138586_30092019064408_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","ALMAS KHAN","Employees/Designated Employees","Equity Shares","2500","0",,"2500","1121000","Sell","Equity Shares","Nil","0.00","20-Sep-2019","26-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 18:44","https://archives.nseindia.com/corporate/xbrl/IT_1057725_138586_30092019064408_WEB.xml"
