"SYMBOL ","COMPANY ","REGULATION ","NAME OF THE ACQUIRER/DISPOSER ","CATEGORY OF PERSON ","TYPE OF SECURITY (PRIOR) ","NO. OF SECURITY (PRIOR) ","% SHAREHOLDING (PRIOR) ","TYPE OF SECURITY (ACQUIRED/DISPLOSED) ","NO. OF SECURITIES (ACQUIRED/DISPLOSED) ","VALUE OF SECURITY (ACQUIRED/DISPLOSED) ","ACQUISITION/DISPOSAL TRANSACTION TYPE ","TYPE OF SECURITY (POST) ","NO. OF SECURITY (POST) ","% POST ","DATE OF ALLOTMENT/ACQUISITION FROM ","DATE OF ALLOTMENT/ACQUISITION TO ","DATE OF INITMATION TO COMPANY ","MODE OF ACQUISITION ","DERIVATIVE TYPE SECURITY ","DERIVATIVE CONTRACT SPECIFICATION ","NOTIONAL VALUE(BUY) ","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) ","NOTIONAL VALUE(SELL) ","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) ","EXCHANGE ","REMARK ","BROADCASTE DATE AND TIME ","XBRL "
"KAPSTON","Kapston Facilities Management Limited","7(2)","Chereddi Ramachandra Naidu","Director","Equity Shares","518400","5.96",,"31200","2813616","Buy","Equity Shares","549600","6.32","27-Sep-2019","28-Sep-2019","28-Sep-2019","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:52","https://archives.nseindia.com/corporate/xbrl/IT_1057750_138631_30092019085237_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Alok Agarwal","Key Managerial Personnel","Equity Shares","1450252","0.02",,"1440000","1848012000","Pledge","Equity Shares","10252","0.00","26-Sep-2019","26-Sep-2019","27-Sep-2019","Pledge Creation","-","-","0","0","0","0","NA","-","30-Sep-2019 20:43","https://archives.nseindia.com/corporate/xbrl/IT_1057749_138630_30092019084334_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Pradeep Kumar Jain","Other","Equity Shares","46800","0",,"500","645816","Sell","Equity Shares","46300","0.00","27-Sep-2019","27-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:43","https://archives.nseindia.com/corporate/xbrl/IT_1057749_138630_30092019084334_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Pradeep Kumar Jain","Other","Equity Shares","47800","0",,"1000","1285673","Sell","Equity Shares","46800","0.00","26-Sep-2019","26-Sep-2019","27-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:43","https://archives.nseindia.com/corporate/xbrl/IT_1057749_138630_30092019084334_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Jayant Kelkar","Other","Equity Shares","52000","0",,"2000","2622500","Sell","Equity Shares","50000","0.00","27-Sep-2019","27-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:43","https://archives.nseindia.com/corporate/xbrl/IT_1057749_138630_30092019084334_WEB.xml"
"ROHLTD","Royal Orchid Hotels Limited","7(2)","Chander K. Baljee","Key Managerial Personnel","Equity Shares","12001060","43.76",,"10028","611698","Buy","Equity Shares","12011088","43.80","03-Sep-2019","03-Sep-2019","30-Sep-2019","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:20","https://archives.nseindia.com/corporate/xbrl/IT_1057748_138628_30092019082003_WEB.xml"
"ROHLTD","Royal Orchid Hotels Limited","7(2)","Chander K. Baljee","Key Managerial Personnel","Equity Shares","12011088","43.8",,"10000","800496","Buy","Equity Shares","12021088","43.83","30-Sep-2019","30-Sep-2019","30-Sep-2019","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:20","https://archives.nseindia.com/corporate/xbrl/IT_1057748_138628_30092019082003_WEB.xml"
"ITC","ITC Limited","7(2)","DIPAK HAKSAR","Employees/Designated Employees","Equity Shares","365489","0",,"2500","643426","Sell","Equity Shares","362989","0.00","24-Sep-2019","24-Sep-2019","27-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
"ITC","ITC Limited","7(2)","C.V. SARMA","Employees/Designated Employees","Equity Shares","269430","0",,"5000","1275000","Sell","Equity Shares","264430","0.00","27-Sep-2019","27-Sep-2019","28-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
"ITC","ITC Limited","7(2)","GANESH SANGANERIA","Employees/Designated Employees","Equity Shares","99030","0",,"10000","2542000","Sell","Equity Shares","89030","0.00","27-Sep-2019","27-Sep-2019","30-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
"ITC","ITC Limited","7(2)","KAVITA CHATURVEDI","Employees/Designated Employees","Equity Shares","285780","0",,"10000","2570000","Sell","Equity Shares","275780","0.00","27-Sep-2019","27-Sep-2019","27-Sep-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2019 20:11","https://archives.nseindia.com/corporate/xbrl/IT_1057747_138623_30092019081113_WEB.xml"
