"SYMBOL ","COMPANY ","REGULATION ","NAME OF THE ACQUIRER/DISPOSER ","CATEGORY OF PERSON ","TYPE OF SECURITY (PRIOR) ","NO. OF SECURITY (PRIOR) ","% SHAREHOLDING (PRIOR) ","TYPE OF SECURITY (ACQUIRED/DISPLOSED) ","NO. OF SECURITIES (ACQUIRED/DISPLOSED) ","VALUE OF SECURITY (ACQUIRED/DISPLOSED) ","ACQUISITION/DISPOSAL TRANSACTION TYPE ","TYPE OF SECURITY (POST) ","NO. OF SECURITY (POST) ","% POST ","DATE OF ALLOTMENT/ACQUISITION FROM ","DATE OF ALLOTMENT/ACQUISITION TO ","DATE OF INITMATION TO COMPANY ","MODE OF ACQUISITION ","DERIVATIVE TYPE SECURITY ","DERIVATIVE CONTRACT SPECIFICATION ","NOTIONAL VALUE(BUY) ","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) ","NOTIONAL VALUE(SELL) ","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) ","EXCHANGE ","REMARK ","BROADCASTE DATE AND TIME ","XBRL "
"ICICIBANK","ICICI Bank Limited","7(2)","P.SURESH","Employees/Designated Employees","Equity Shares","81350","0",,"3000","1321000","Sell","Equity Shares","78350","0.00","26-Jun-2019","27-Jun-2019","28-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Jun-2019 08:33","https://archives.nseindia.com/corporate/xbrl/IT_1054117_109910_30062019083350_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","P.SURESH","Employees/Designated Employees","Equity Shares","78350","0",,"10000","1700300","Buy","Equity Shares","88350","0.00","28-Jun-2019","28-Jun-2019","28-Jun-2019","ESOP","-","-","0","0","0","0","NA","-","30-Jun-2019 08:33","https://archives.nseindia.com/corporate/xbrl/IT_1054117_109910_30062019083350_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","ANIYAN DAS","Employees/Designated Employees","Equity Shares","37182","0",,"3500","1497840.19","Sell","Equity Shares","33682","0.00","27-Jun-2019","27-Jun-2019","28-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Jun-2019 08:33","https://archives.nseindia.com/corporate/xbrl/IT_1054117_109910_30062019083350_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","T. K. Srirang","Employees/Designated Employees","Equity Shares","134185","0",,"10000","4420000","Sell","Equity Shares","124185","0.00","27-Jun-2019","27-Jun-2019","28-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Jun-2019 08:33","https://archives.nseindia.com/corporate/xbrl/IT_1054117_109910_30062019083350_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","Subhash Subramaniam","Employees/Designated Employees","Equity Shares","6600","0",,"4600","2027400","Sell","Equity Shares","2000","0.00","26-Jun-2019","27-Jun-2019","28-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Jun-2019 08:33","https://archives.nseindia.com/corporate/xbrl/IT_1054117_109910_30062019083350_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","MADHIVANAN B","Employees/Designated Employees","Equity Shares","2458","0",,"2450","1081675","Sell","Equity Shares","8","0.00","27-Jun-2019","27-Jun-2019","28-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Jun-2019 08:33","https://archives.nseindia.com/corporate/xbrl/IT_1054117_109910_30062019083350_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","Avijit Saha","Employees/Designated Employees","Equity Shares","28000","0",,"5000","2195300","Sell","Equity Shares","23000","0.00","28-Jun-2019","28-Jun-2019","28-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Jun-2019 08:33","https://archives.nseindia.com/corporate/xbrl/IT_1054117_109910_30062019083350_WEB.xml"
"IBREALEST","Indiabulls Real Estate Limited","7(2)","Kritikka Infrastructure Private Limited","Promoter Group","Equity Shares","6108584","1.35",,"2200000","265251216","Sell","Equity Shares","3908584","0.86","27-Jun-2019","27-Jun-2019","29-Jun-2019","Market Sale","-","-","0","0","0","0","BSE,NSE","-","29-Jun-2019 22:36","https://archives.nseindia.com/corporate/xbrl/IT_1054119_109909_29062019103613_WEB.xml"
"IBREALEST","Indiabulls Real Estate Limited","7(2)","Powerscreen Media Private Limited","Promoter Group","Equity Shares","10000000","2.21",,"1074812","122996934","Sell","Equity Shares","8925188","1.96","28-Jun-2019","28-Jun-2019","29-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","29-Jun-2019 22:36","https://archives.nseindia.com/corporate/xbrl/IT_1054119_109909_29062019103613_WEB.xml"
"IBREALEST","Indiabulls Real Estate Limited","7(2)","SG Devbuild Private Limited","Promoter Group","Equity Shares","30700000","6.79",,"5600000","652149203","Sell","Equity Shares","25100000","5.52","27-Jun-2019","28-Jun-2019","29-Jun-2019","Market Sale","-","-","0","0","0","0","BSE,NSE","-","29-Jun-2019 22:36","https://archives.nseindia.com/corporate/xbrl/IT_1054119_109909_29062019103613_WEB.xml"
"BBTC","Bombay Burmah Trading Corporation Limited","7(2)","The Bombay Dyeing & Manufacturing Company Limited","Promoter Group","Equity Shares","7538600","10.8",,"525000","501427500","Pledge Revoke","Equity Shares","7538600","10.80","26-Jun-2019","26-Jun-2019","27-Jun-2019","Revokation of Pledge","-","-","0","0","0","0","NA","-","29-Jun-2019 21:03","https://archives.nseindia.com/corporate/xbrl/IT_1054118_109904_29062019090324_WEB.xml"
"AMJLAND","Amj Land Holdings Limited","7(2)","Chem Mach Private Limited","Promoter Group","Equity Shares","4246115","10.36",,"1700000","28390000","Buy","Equity Shares","5946115","14.50","28-Jun-2019","28-Jun-2019","29-Jun-2019","Market Purchase","-","-","0","0","0","0","BSE","-","29-Jun-2019 19:25","https://archives.nseindia.com/corporate/xbrl/IT_1054116_109903_29062019072534_WEB.xml"
"AMJLAND","Amj Land Holdings Limited","7(2)","3P Land Holdings Limited (formerly known as Pudumjee Industries Limited)","Promoter Group","Equity Shares","1700000","4.14",,"1700000","28390000","Sell","Equity Shares","Nil","0.00","28-Jun-2019","28-Jun-2019","29-Jun-2019","Market Sale","-","-","0","0","0","0","BSE","-","29-Jun-2019 19:25","https://archives.nseindia.com/corporate/xbrl/IT_1054116_109903_29062019072534_WEB.xml"
"EMAMILTD","Emami Limited","7(2)","Diwakar Viniyog Private Limited","Promoter Group","Equity Shares","49533849","10.91",,"7410100","2216360910","Pledge Revoke","Equity Shares","49533849","10.91","28-Jun-2019","28-Jun-2019","29-Jun-2019","Revokation of Pledge","-","-","0","0","0","0","NA","-","29-Jun-2019 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1054113_109901_29062019063343_WEB.xml"
"EMAMILTD","Emami Limited","7(2)","M/s Prabhakar Viniyog Private Limited","Promoter Group","Equity Shares","20491492","4.51",,"3398856","1016597830","Pledge Revoke","Equity Shares","20491492","4.51","28-Jun-2019","28-Jun-2019","29-Jun-2019","Revokation of Pledge","-","-","0","0","0","0","NA","-","29-Jun-2019 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1054113_109901_29062019063343_WEB.xml"
"EMAMILTD","Emami Limited","7(2)","M/s Suntrack Commerce Private Limited","Promoter Group","Equity Shares","49134107","10.82",,"907970","271573827","Pledge Revoke","Equity Shares","49134107","10.82","28-Jun-2019","28-Jun-2019","29-Jun-2019","Revokation of Pledge","-","-","0","0","0","0","NA","-","29-Jun-2019 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1054113_109901_29062019063343_WEB.xml"
"EMAMILTD","Emami Limited","7(2)","M/s Suraj Viniyog Private Limited","Promoter Group","Equity Shares","20005848","4.4",,"1446714","432712157","Pledge Revoke","Equity Shares","20005848","4.40","28-Jun-2019","28-Jun-2019","29-Jun-2019","Revokation of Pledge","-","-","0","0","0","0","NA","-","29-Jun-2019 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1054113_109901_29062019063343_WEB.xml"
"EMAMILTD","Emami Limited","7(2)","M/s Raviraj Viniyog Private Limited","Promoter Group","Equity Shares","21456984","4.72",,"9817935","2936544359","Pledge Revoke","Equity Shares","21456984","4.72","28-Jun-2019","28-Jun-2019","29-Jun-2019","Revokation of Pledge","-","-","0","0","0","0","NA","-","29-Jun-2019 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1054113_109901_29062019063343_WEB.xml"
"INFIBEAM","Infibeam Avenues Limited","7(2)","Infinium Communication Private Limited","Promoter Group","Equity Shares","9007880","1.36",,"8500000","378319199.65","Sell","Equity Shares","507880","0.08","28-Jun-2019","28-Jun-2019","29-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","29-Jun-2019 18:31","https://archives.nseindia.com/corporate/xbrl/IT_1054114_109900_29062019063155_WEB.xml"
"INFIBEAM","Infibeam Avenues Limited","7(2)","Infinium Communication Private Limited","Promoter Group","Equity Shares","9007880","1.36",,"5000000","221000000","Pledge Revoke","Equity Shares","9007880","1.36","28-Jun-2019","28-Jun-2019","29-Jun-2019","Revokation of Pledge","-","-","0","0","0","0","NA","-","29-Jun-2019 18:14","https://archives.nseindia.com/corporate/xbrl/IT_1054112_109899_29062019061424_WEB.xml"
"VAIBHAVGBL","Vaibhav Global Limited","7(2)","Vaibhav Global Employee Stock Option Welfare Trust","Other","Equity Shares","33731","0.11",,"797","682262","Sell","Equity Shares","32934","0.11","28-Jun-2019","28-Jun-2019","28-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","29-Jun-2019 17:54","https://archives.nseindia.com/corporate/xbrl/IT_1054111_109897_29062019055414_WEB.xml"
"VAIBHAVGBL","Vaibhav Global Limited","7(2)","Vaibhav Global Employee Stock Option Welfare Trust","Other","Equity Shares","35426","0.12",,"1695","1396317","Sell","Equity Shares","33731","0.11","27-Jun-2019","27-Jun-2019","28-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","29-Jun-2019 17:54","https://archives.nseindia.com/corporate/xbrl/IT_1054111_109897_29062019055414_WEB.xml"
"PLASTIBLEN","Plastiblends India Limited","7(2)","VARUN SATYANARAYAN KABRA","Promoters","Equity Shares","4177768","16.08",,"5541","1055004.60","Buy","Equity Shares","4183309","16.10","20-Jun-2019","28-Jun-2019","29-Jun-2019","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","29-Jun-2019 17:45","https://archives.nseindia.com/corporate/xbrl/IT_1054110_109895_29062019054516_WEB.xml"
"SATIN","Satin Creditcare Network Limited","7(2)","Trishashna Holdings & Investments Private Limited","Promoter Group","Equity Shares","12279538","25.11",,"1791044","521999773","Buy","Equity Shares","14070582","27.04","27-Jun-2019","27-Jun-2019","29-Jun-2019","Conversion of security","-","-","0","0","0","0","NA","-","29-Jun-2019 17:38","https://archives.nseindia.com/corporate/xbrl/IT_1054109_109894_29062019053835_WEB.xml"
"KALPATPOWR","Kalpataru Power Transmission Limited","7(2)","KALPATARU CONSTRUCTIONS PRIVATE LIMITED","Promoter Group","Equity Shares","23350000","15.21",,"1300000","676975000","Pledge Revoke","Equity Shares","23350000","15.21","26-Jun-2019","26-Jun-2019","28-Jun-2019","Revokation of Pledge","-","-","0","0","0","0","NA","-","29-Jun-2019 17:28","https://archives.nseindia.com/corporate/xbrl/IT_1054094_109893_29062019052851_WEB.xml"
"KALPATPOWR","Kalpataru Power Transmission Limited","7(2)","KALPATARU CONSTRUCTIONS PRIVATE LIMITED","Promoter Group","Equity Shares","23350000","15.21",,"1046000","544704500","Pledge","Equity Shares","23350000","15.21","26-Jun-2019","26-Jun-2019","28-Jun-2019","Pledge Creation","-","-","0","0","0","0","NA","-","29-Jun-2019 17:28","https://archives.nseindia.com/corporate/xbrl/IT_1054094_109893_29062019052851_WEB.xml"
"FIEMIND","Fiem Industries Limited","7(2)","Aanchal Jain","Promoters","Equity Shares","896089","6.81",,"2095","922268.88","Buy","Equity Shares","898184","6.83","18-Jun-2019","28-Jun-2019","29-Jun-2019","Market Purchase","-","-","0","0","0","0","NSE","-","29-Jun-2019 17:17","https://archives.nseindia.com/corporate/xbrl/IT_1054106_109891_29062019051753_WEB.xml"
"FIEMIND","Fiem Industries Limited","7(2)","Aanchal Jain","Promoters","Equity Shares","895883","6.81",,"206","90588.04","Buy","Equity Shares","896089","6.81","18-Jun-2019","19-Jun-2019","29-Jun-2019","Market Purchase","-","-","0","0","0","0","BSE","-","29-Jun-2019 17:17","https://archives.nseindia.com/corporate/xbrl/IT_1054106_109891_29062019051753_WEB.xml"
